P_u,M_u,V_u,f_c,F_y,t_req_2017,t_req_2023,delta_t,delta_t_pct,excentricidad
50.0,100.0,50,3.5,50,1.493095219111404,1.493095219111403,-8.881784197001252e-16,-0.0,2.0
50.0,100.0,50,4.0,36,1.7596295906514803,1.7596295906514796,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,50,4.0,40,1.669331203406522,1.669331203406521,-8.881784197001252e-16,-0.0,2.0
50.0,100.0,50,4.0,45,1.5738605519667352,1.5738605519667348,-4.440892098500626e-16,-0.0,2.0
50.0,100.0,50,4.0,50,1.4930952191114046,1.493095219111404,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,50,4.5,36,1.7596295906514778,1.7596295906514763,-1.5543122344752192e-15,-0.0,2.0
50.0,100.0,50,4.5,40,1.6693312034065195,1.669331203406518,-1.5543122344752192e-15,-0.0,2.0
50.0,100.0,50,4.5,45,1.5738605519667332,1.5738605519667317,-1.5543122344752192e-15,-0.0,2.0
50.0,100.0,50,4.5,50,1.4930952191114024,1.493095219111401,-1.3322676295501878e-15,-0.0,2.0
50.0,100.0,50,5.0,36,1.7596295906514807,1.7596295906514778,-2.886579864025407e-15,-0.0,2.0
50.0,100.0,50,5.0,40,1.6693312034065224,1.6693312034065193,-3.1086244689504383e-15,-0.0,2.0
50.0,100.0,50,5.0,45,1.573860551966736,1.573860551966733,-2.886579864025407e-15,-0.0,2.0
50.0,100.0,50,5.0,50,1.4930952191114049,1.4930952191114024,-2.4424906541753444e-15,-0.0,2.0
50.0,100.0,100,3.0,36,1.7596295906514776,1.7596295906514823,4.6629367034256575e-15,0.0,2.0
50.0,100.0,100,3.0,40,1.669331203406519,1.6693312034065237,4.6629367034256575e-15,0.0,2.0
50.0,100.0,100,3.0,45,1.5738605519667328,1.573860551966737,4.218847493575595e-15,0.0,2.0
50.0,100.0,100,3.0,50,1.4930952191114022,1.4930952191114062,3.9968028886505635e-15,0.0,2.0
50.0,100.0,100,3.5,36,1.7596295906514794,1.7596295906514787,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,100,3.5,40,1.669331203406521,1.6693312034065204,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,100,3.5,45,1.5738605519667346,1.573860551966734,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,100,3.5,50,1.493095219111404,1.493095219111403,-8.881784197001252e-16,-0.0,2.0
50.0,100.0,100,4.0,36,1.7596295906514803,1.7596295906514796,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,100,4.0,40,1.669331203406522,1.669331203406521,-8.881784197001252e-16,-0.0,2.0
50.0,100.0,100,4.0,45,1.5738605519667352,1.5738605519667348,-4.440892098500626e-16,-0.0,2.0
50.0,100.0,100,4.0,50,1.4930952191114046,1.493095219111404,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,100,4.5,36,1.7596295906514778,1.7596295906514763,-1.5543122344752192e-15,-0.0,2.0
50.0,100.0,100,4.5,40,1.6693312034065195,1.669331203406518,-1.5543122344752192e-15,-0.0,2.0
50.0,100.0,100,4.5,45,1.5738605519667332,1.5738605519667317,-1.5543122344752192e-15,-0.0,2.0
50.0,100.0,100,4.5,50,1.4930952191114024,1.493095219111401,-1.3322676295501878e-15,-0.0,2.0
50.0,100.0,100,5.0,36,1.7596295906514807,1.7596295906514778,-2.886579864025407e-15,-0.0,2.0
50.0,100.0,100,5.0,40,1.6693312034065224,1.6693312034065193,-3.1086244689504383e-15,-0.0,2.0
50.0,100.0,100,5.0,45,1.573860551966736,1.573860551966733,-2.886579864025407e-15,-0.0,2.0
50.0,100.0,100,5.0,50,1.4930952191114049,1.4930952191114024,-2.4424906541753444e-15,-0.0,2.0
50.0,200.0,0,3.0,36,1.929626075208212,1.9296260752082137,1.7763568394002505e-15,0.0,4.0
50.0,200.0,0,3.0,40,1.8306040290327952,1.830604029032797,1.7763568394002505e-15,0.0,4.0
50.0,200.0,0,3.0,45,1.7259100301286734,1.725910030128675,1.5543122344752192e-15,0.0,4.0
50.0,200.0,0,3.0,50,1.6373420195209316,1.6373420195209332,1.5543122344752192e-15,0.0,4.0
50.0,200.0,0,3.5,36,1.9296260752082144,1.9296260752082133,-1.1102230246251565e-15,-0.0,4.0
50.0,200.0,0,3.5,40,1.8306040290327976,1.8306040290327965,-1.1102230246251565e-15,-0.0,4.0
50.0,200.0,0,3.5,45,1.7259100301286756,1.7259100301286747,-8.881784197001252e-16,-0.0,4.0
50.0,200.0,0,3.5,50,1.6373420195209336,1.6373420195209327,-8.881784197001252e-16,-0.0,4.0
50.0,200.0,0,4.0,36,1.9296260752082137,1.9296260752082144,6.661338147750939e-16,0.0,4.0
50.0,200.0,0,4.0,40,1.830604029032797,1.8306040290327976,6.661338147750939e-16,0.0,4.0
50.0,200.0,0,4.0,45,1.725910030128675,1.7259100301286756,6.661338147750939e-16,0.0,4.0
50.0,200.0,0,4.0,50,1.637342019520933,1.6373420195209336,6.661338147750939e-16,0.0,4.0
50.0,200.0,0,4.5,36,1.929626075208214,1.9296260752082168,2.886579864025407e-15,0.0,4.0
50.0,200.0,0,4.5,40,1.8306040290327972,1.8306040290327998,2.6645352591003757e-15,0.0,4.0
50.0,200.0,0,4.5,45,1.7259100301286754,1.7259100301286778,2.4424906541753444e-15,0.0,4.0
50.0,200.0,0,4.5,50,1.6373420195209332,1.6373420195209356,2.4424906541753444e-15,0.0,4.0
50.0,200.0,0,5.0,36,1.9296260752082137,1.9296260752082144,6.661338147750939e-16,0.0,4.0
50.0,200.0,0,5.0,40,1.830604029032797,1.8306040290327976,6.661338147750939e-16,0.0,4.0
